id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,energy_type_id,Energy_Type_Name,weather_id,Weather_Condition,Weather_Temperature,equipment_id,Equipment_Name,Equipment_Type,Equipment_Rated_Capacity,Equipment_Operational_Status,electricity_Production(kWh)
1,1,2024-05-18 06:11:43.797236,2024,5,18,13,Tanjung Jati B,Jawa Barat,3,PLTA,7,Foggy,32.7,94,Generator PLTAGenX,Spillway Gate,1541.79,Degraded,771.15
2,2,2024-06-03 19:16:43.797236,2024,6,3,5,Darajat,Sulawesi Utara,2,PLTB,4,Overcast,37.5,88,Gearbox PLTBMaster,Gearbox,1982.98,Degraded,484.17
3,3,2024-11-05 06:35:43.797236,2024,11,5,13,Tanjung Jati B,Jawa Barat,4,PLTG,8,Hazy,30.4,17,Binary Cycle Plant GeoFlow,Wellhead,427.49,Degraded,243.64
4,4,2024-12-07 03:16:43.797236,2024,12,7,14,Grati,Jawa Tengah,6,PLTG,3,Cloudy,20.4,87,Fuel Tank PetroStore 50KL,Engine,111.89,Degraded,890.56
5,5,2023-07-24 07:11:43.797236,2023,7,24,21,Patuha,Lampung,4,PLTG,3,Cloudy,25.4,8,Steam Turbine GeoPower X1,Wellhead,1777.52,Failed,1425.23
6,6,2025-01-21 21:09:43.797236,2025,1,21,5,Darajat,Sulawesi Utara,1,PLTS,4,Overcast,24.1,81,PLTS Panel Array Alpha,Inverter,979.32,Degraded,1023.68
7,7,2023-10-10 19:14:43.797236,2023,10,10,15,Muara Karang,Sumatera Utara,6,PLTG,5,Rain Showers,34.5,19,Alternator PLTGGen Pro,Engine,1674.77,Operational,1259.14
8,8,2024-06-14 16:17:43.797236,2024,6,14,16,Tambak Lorok,Sulawesi Utara,3,PLTA,1,Clear,31.4,2,Kaplan Turbine FlowMax,Turbine,1713.9,Operational,1115.92
9,9,2025-05-14 22:58:43.797236,2025,5,14,11,Paiton,Sumatera Selatan,3,PLTA,4,Overcast,27.2,86,Generator PLTAGenX,Generator,1337.82,Degraded,663.41
10,10,2025-02-04 12:38:43.797236,2025,2,4,2,Cirata,Jawa Barat,4,PLTG,2,Partly Cloudy,28.5,10,Wellhead Unit AlphaTherm,Wellhead,1932.51,Degraded,266.48
