id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,customer_segment_id,Customer_Segment_Name,Customer_Type
1,1,2025-03-20 03:36:15.892032,2025,3,20,24,Rantau Dedap,Jawa Barat,1,Residential,Postpaid
2,2,2024-08-23 03:29:15.892032,2024,8,23,18,Jeneponto,Banten,1,Residential,Postpaid
3,3,2025-03-16 07:02:15.892032,2025,3,16,6,Wayang Windu,NTT,1,Residential,Prepaid
4,4,2024-09-28 16:41:15.892032,2024,9,28,9,Ulumbu,Sulawesi Selatan,2,Commercial,Postpaid
5,5,2025-02-15 09:38:15.892032,2025,2,15,15,Muara Karang,Sumatera Utara,3,Industrial,Prepaid
6,6,2024-06-21 15:57:15.892032,2024,6,21,3,Saguling,Jawa Tengah,1,Residential,Prepaid
7,7,2024-06-21 03:49:15.892032,2024,6,21,5,Darajat,Sulawesi Utara,4,Government,Postpaid
8,8,2024-07-20 21:43:15.892032,2024,7,20,25,Muara Laboh,Jawa Tengah,1,Residential,Prepaid
9,9,2025-05-11 02:17:15.892032,2025,5,11,4,Kamojang,Sumatera Utara,1,Residential,Prepaid
10,10,2024-10-12 17:00:15.892032,2024,10,12,24,Rantau Dedap,Jawa Barat,3,Industrial,Postpaid
11,11,2025-03-07 12:33:15.892032,2025,3,7,21,Patuha,Lampung,2,Commercial,Prepaid
12,12,2024-09-07 17:52:15.892032,2024,9,7,8,Lahendong,DKI Jakarta,2,Commercial,Prepaid
13,13,2024-08-20 23:08:15.892032,2024,8,20,10,Mataloko,Lampung,1,Residential,Postpaid
14,14,2024-09-14 08:11:15.892032,2024,9,14,13,Tanjung Jati B,Jawa Barat,2,Commercial,Prepaid
15,15,2024-10-05 18:40:15.892032,2024,10,5,19,Likupang,DKI Jakarta,1,Residential,Prepaid
16,16,2025-03-22 10:32:15.892032,2025,3,22,25,Muara Laboh,Jawa Tengah,1,Residential,Prepaid
17,17,2024-06-08 19:43:15.892032,2024,6,8,22,Dieng,Sumatera Selatan,2,Commercial,Postpaid
18,18,2024-07-31 07:25:15.892032,2024,7,31,22,Dieng,Sumatera Selatan,2,Commercial,Postpaid
19,19,2024-05-29 20:05:15.892032,2024,5,29,1,Karangkates,Jawa Timur,3,Industrial,Postpaid
