id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,regulation_id,Regulation_Name,Regulation_Authority
1,1,2024-07-19 08:37:05.504745,2024,7,19,5,Darajat,Sulawesi Utara,3,Safety Standard ISO 45001,National Standardization Agency
2,2,2024-07-06 05:41:05.504745,2024,7,6,5,Darajat,Sulawesi Utara,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
3,3,2023-03-14 23:45:05.504745,2023,3,14,16,Tambak Lorok,Sulawesi Utara,3,Safety Standard ISO 45001,National Standardization Agency
4,4,2025-04-13 01:32:05.504745,2025,4,13,19,Likupang,DKI Jakarta,2,Environmental Permit No. 123/2024,Regional Environmental Agency
5,5,2023-11-30 23:03:05.504745,2023,11,30,22,Dieng,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
6,6,2022-08-29 03:03:05.504745,2022,8,29,24,Rantau Dedap,Jawa Barat,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
7,7,2025-04-15 23:18:05.504745,2025,4,15,15,Muara Karang,Sumatera Utara,3,Safety Standard ISO 45001,National Standardization Agency
8,8,2024-05-08 10:37:05.504745,2024,5,8,2,Cirata,Jawa Barat,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
9,9,2023-11-13 08:47:05.504745,2023,11,13,9,Ulumbu,Sulawesi Selatan,6,Water Quality Standard 2023,Ministry of Environment and Forestry
10,10,2023-08-08 16:01:05.504745,2023,8,8,21,Patuha,Lampung,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
11,11,2023-12-02 10:18:05.504745,2023,12,2,24,Rantau Dedap,Jawa Barat,2,Environmental Permit No. 123/2024,Regional Environmental Agency
12,12,2024-03-08 19:07:05.504745,2024,3,8,5,Darajat,Sulawesi Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
13,13,2023-10-10 11:11:05.504745,2023,10,10,14,Grati,Jawa Tengah,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
14,14,2024-01-15 21:02:05.504745,2024,1,15,22,Dieng,Sumatera Selatan,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
