id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,equipment_id,Equipment_Name,Equipment_Type,Equipment_Rated_Capacity,Equipment_Operational_Status,energy_type_id,Energy_Type_Name,weather_id,Weather_Condition,Weather_Temperature
1,1,2024-07-03 15:25:44.920375,2024,7,3,8,Lahendong,DKI Jakarta,46,Steam Turbine BioSteam Z,Turbine,1390.02,Degraded,5,PLTG,4,Overcast,12.0
2,2,2023-07-28 00:32:44.920375,2023,7,28,23,Sorik Marapi,Jawa Timur,89,Cooling Tower GeoCool,Steam Turbine,1790.07,Failed,4,PLTU,5,Rain Showers,27.9
3,3,2023-10-05 20:41:44.920375,2023,10,5,9,Ulumbu,Sulawesi Selatan,2,PLTA Turbine T-Francis,Generator,400.92,Operational,3,PLTA,1,Clear,13.7
4,4,2025-05-02 17:16:44.920375,2025,5,2,17,Sidrap,NTT,14,Central Inverter SunGrow,Photovoltaic Panel,1201.07,Maintenance,1,PLTS,3,Cloudy,15.6
5,5,2024-07-13 00:01:44.920375,2024,7,13,9,Ulumbu,Sulawesi Selatan,64,Kaplan Turbine FlowMax,Turbine,202.06,Degraded,3,PLTA,3,Cloudy,16.7
6,6,2024-05-23 15:05:44.920375,2024,5,23,10,Mataloko,Lampung,29,PLTB Turbine Vestas V120,Nacelle,912.78,Standby,2,PLTB,5,Rain Showers,21.8
7,7,2024-10-08 14:00:44.920375,2024,10,8,3,Saguling,Jawa Tengah,56,Blade Set AeroPro,Generator,739.89,Failed,2,PLTB,4,Overcast,35.8
8,8,2025-04-22 04:47:44.920375,2025,4,22,3,Saguling,Jawa Tengah,99,PLTG Generator CAT D1000,Exhaust System,1427.69,Standby,6,PLTG,2,Partly Cloudy,39.1
9,9,2023-07-19 11:26:44.920375,2023,7,19,5,Darajat,Sulawesi Utara,51,PLTA Turbine T-Francis,Turbine,268.23,Degraded,3,PLTA,5,Rain Showers,23.8
10,10,2024-11-24 21:59:44.920375,2024,11,24,17,Sidrap,NTT,9,Alternator PLTGGen Pro,Engine,1632.37,Operational,6,PLTG,5,Rain Showers,36.3
11,11,2023-07-05 07:22:44.920375,2023,7,5,14,Grati,Jawa Tengah,71,PLTG Boiler BioBurn R1,Feeder System,787.37,Operational,5,PLTG,5,Rain Showers,37.6
12,12,2025-03-15 13:20:44.920375,2025,3,15,1,Karangkates,Jawa Timur,9,Alternator PLTGGen Pro,Engine,126.28,Operational,6,PLTG,3,Cloudy,31.3
13,13,2024-10-25 22:04:44.920375,2024,10,25,12,Suralaya,Jawa Timur,25,Kaplan Turbine FlowMax,Penstock,683.57,Degraded,3,PLTA,1,Clear,14.3
14,14,2025-04-02 02:42:44.920375,2025,4,2,2,Cirata,Jawa Barat,86,Steam Turbine GeoPower X1,Heat Exchanger,1245.05,Standby,4,PLTU,6,Thunderstorm,17.5
15,15,2023-09-13 22:22:44.920375,2023,9,13,25,Muara Laboh,Jawa Tengah,10,PLTB Turbine Vestas V120,Turbine,1595.08,Failed,2,PLTB,3,Cloudy,11.1
16,16,2025-02-20 22:40:44.920375,2025,2,20,10,Mataloko,Lampung,22,PLTB Turbine Vestas V120,Gearbox,920.15,Operational,2,PLTB,1,Clear,16.7
17,17,2024-08-28 14:07:44.920375,2024,8,28,3,Saguling,Jawa Tengah,17,Cooling Tower GeoCool,Heat Exchanger,887.69,Failed,4,PLTU,1,Clear,38.8
18,18,2024-05-27 13:59:44.920375,2024,5,27,2,Cirata,Jawa Barat,43,Binary Cycle Plant GeoFlow,Wellhead,1880.39,Degraded,4,PLTU,6,Thunderstorm,35.0
19,19,2024-06-28 22:16:44.920375,2024,6,28,13,Tanjung Jati B,Jawa Barat,34,Steam Turbine GeoPower X1,Wellhead,1128.92,Standby,4,PLTU,6,Thunderstorm,15.7
20,20,2023-08-10 01:35:44.920375,2023,8,10,13,Tanjung Jati B,Jawa Barat,50,Pelletizer BioFuel,Gasifier,600.06,Maintenance,5,PLTG,7,Foggy,14.7
21,21,2024-07-11 22:57:44.920375,2024,7,11,5,Darajat,Sulawesi Utara,10,PLTB Turbine Vestas V120,Turbine,926.5,Failed,2,PLTB,3,Cloudy,24.3
22,22,2023-11-12 08:47:44.920375,2023,11,12,13,Tanjung Jati B,Jawa Barat,14,Central Inverter SunGrow,Photovoltaic Panel,638.82,Maintenance,1,PLTS,1,Clear,15.6
23,23,2024-02-06 10:24:44.920375,2024,2,6,1,Karangkates,Jawa Timur,6,PLTS Panel B-Series X,Mounting System,1108.55,Standby,1,PLTS,7,Foggy,23.9
24,24,2024-08-29 13:04:44.920375,2024,8,29,23,Sorik Marapi,Jawa Timur,32,Pelletizer BioFuel,Turbine,1723.48,Standby,5,PLTG,5,Rain Showers,34.6
25,25,2025-03-08 05:24:44.920375,2025,3,8,5,Darajat,Sulawesi Utara,73,Wellhead Unit AlphaTherm,Steam Turbine,486.84,Standby,4,PLTU,8,Hazy,38.8
26,26,2024-05-11 16:31:44.920375,2024,5,11,11,Paiton,Sumatera Selatan,54,Binary Cycle Plant GeoFlow,Steam Turbine,380.99,Standby,4,PLTU,2,Partly Cloudy,24.2
27,27,2024-03-25 10:57:44.920375,2024,3,25,18,Jeneponto,Banten,32,Pelletizer BioFuel,Turbine,169.24,Maintenance,5,PLTG,7,Foggy,24.0
28,28,2024-01-13 08:48:44.920375,2024,1,13,9,Ulumbu,Sulawesi Selatan,60,Binary Cycle Plant GeoFlow,Heat Exchanger,1946.53,Failed,4,PLTU,5,Rain Showers,18.4
29,29,2024-09-07 22:28:44.920375,2024,9,7,21,Patuha,Lampung,72,Cooling Tower GeoCool,Heat Exchanger,787.25,Degraded,4,PLTU,5,Rain Showers,39.8
30,30,2024-06-15 14:46:44.920375,2024,6,15,13,Tanjung Jati B,Jawa Barat,49,Kaplan Turbine FlowMax,Generator,1330.09,Operational,3,PLTA,1,Clear,34.3
31,31,2024-10-24 13:42:44.920375,2024,10,24,18,Jeneponto,Banten,29,PLTB Turbine Vestas V120,Nacelle,516.95,Maintenance,2,PLTB,5,Rain Showers,35.1
32,32,2023-05-29 11:28:44.920375,2023,5,29,6,Wayang PLTBu,NTT,73,Wellhead Unit AlphaTherm,Steam Turbine,1901.8,Maintenance,4,PLTU,2,Partly Cloudy,12.3
33,33,2025-03-12 09:08:44.920375,2025,3,12,10,Mataloko,Lampung,88,Blade Set AeroPro,Turbine,1628.48,Operational,2,PLTB,3,Cloudy,38.5
