id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,project_id,Project_Name,Project_Status
1,1,2023-10-03 01:50:49.136371,2023,10,3,16,Tambak Lorok,Sulawesi Utara,3,New Renewable Hub Gamma,In Progress
2,2,2024-12-25 22:21:49.136371,2024,12,25,1,Karangkates,Jawa Timur,6,Maintenance Overhaul Zeta,Cancelled
3,3,2023-06-13 20:10:49.136371,2023,6,13,13,Tanjung Jati B,Jawa Barat,4,Rural Electrification Delta,On Hold
4,4,2024-05-03 22:32:49.136371,2024,5,3,7,Sibayak,Banten,1,Grid Modernization Alpha,Planning
5,5,2023-12-19 14:37:49.136371,2023,12,19,18,Jeneponto,Banten,6,Maintenance Overhaul Zeta,Cancelled
6,6,2023-11-18 18:34:49.136371,2023,11,18,13,Tanjung Jati B,Jawa Barat,6,Maintenance Overhaul Zeta,Cancelled
7,7,2023-07-14 05:51:49.136371,2023,7,14,11,Paiton,Sumatera Selatan,6,Maintenance Overhaul Zeta,Cancelled
8,8,2024-06-01 06:45:49.136371,2024,6,1,23,Sorik Marapi,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
9,9,2023-06-12 23:14:49.136371,2023,6,12,21,Patuha,Lampung,3,New Renewable Hub Gamma,In Progress
10,10,2024-08-19 07:35:49.136371,2024,8,19,7,Sibayak,Banten,2,Capacity Expansion Beta,Feasibility Study
11,11,2025-01-08 18:48:49.136371,2025,1,8,21,Patuha,Lampung,2,Capacity Expansion Beta,Feasibility Study
12,12,2024-01-12 09:44:49.136371,2024,1,12,22,Dieng,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
13,13,2023-10-28 02:05:49.136371,2023,10,28,8,Lahendong,DKI Jakarta,1,Grid Modernization Alpha,Planning
14,14,2024-09-05 08:03:49.136371,2024,9,5,22,Dieng,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
15,15,2024-08-22 03:58:49.136371,2024,8,22,8,Lahendong,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
16,16,2024-06-11 03:50:49.136371,2024,6,11,15,Muara Karang,Sumatera Utara,2,Capacity Expansion Beta,Feasibility Study
17,17,2023-05-31 11:09:49.136371,2023,5,31,1,Karangkates,Jawa Timur,3,New Renewable Hub Gamma,In Progress
18,18,2023-08-23 11:19:49.136371,2023,8,23,20,Gunung Salak,Sulawesi Selatan,2,Capacity Expansion Beta,Feasibility Study
19,19,2024-06-20 21:12:49.136371,2024,6,20,3,Saguling,Jawa Tengah,1,Grid Modernization Alpha,Planning
20,20,2024-09-28 09:07:49.136371,2024,9,28,23,Sorik Marapi,Jawa Timur,1,Grid Modernization Alpha,Planning
21,21,2024-06-30 02:10:49.136371,2024,6,30,10,Mataloko,Lampung,6,Maintenance Overhaul Zeta,Cancelled
22,22,2024-03-04 22:20:49.136371,2024,3,4,11,Paiton,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
23,23,2024-01-18 00:45:49.136371,2024,1,18,14,Grati,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
24,24,2024-06-05 22:24:49.136371,2024,6,5,1,Karangkates,Jawa Timur,1,Grid Modernization Alpha,Planning
25,25,2025-05-06 15:40:49.136371,2025,5,6,9,Ulumbu,Sulawesi Selatan,6,Maintenance Overhaul Zeta,Cancelled
26,26,2024-06-30 23:21:49.136371,2024,6,30,24,Rantau Dedap,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
27,27,2024-01-30 22:52:49.136371,2024,1,30,7,Sibayak,Banten,5,Efficiency Upgrade Epsilon,Completed
28,28,2024-06-22 04:31:49.136371,2024,6,22,11,Paiton,Sumatera Selatan,1,Grid Modernization Alpha,Planning
29,29,2025-02-06 12:00:49.136371,2025,2,6,10,Mataloko,Lampung,6,Maintenance Overhaul Zeta,Cancelled
30,30,2023-07-29 08:13:49.136371,2023,7,29,19,Likupang,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
31,31,2024-07-22 12:52:49.136371,2024,7,22,20,Gunung Salak,Sulawesi Selatan,1,Grid Modernization Alpha,Planning
32,32,2024-10-28 09:56:49.136371,2024,10,28,9,Ulumbu,Sulawesi Selatan,2,Capacity Expansion Beta,Feasibility Study
33,33,2023-06-29 22:34:49.136371,2023,6,29,25,Muara Laboh,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
34,34,2025-03-29 03:53:49.136371,2025,3,29,18,Jeneponto,Banten,6,Maintenance Overhaul Zeta,Cancelled
35,35,2025-03-14 02:50:49.136371,2025,3,14,15,Muara Karang,Sumatera Utara,3,New Renewable Hub Gamma,In Progress
36,36,2024-05-27 23:09:49.136371,2024,5,27,14,Grati,Jawa Tengah,4,Rural Electrification Delta,On Hold
37,37,2023-09-30 07:07:49.136371,2023,9,30,1,Karangkates,Jawa Timur,6,Maintenance Overhaul Zeta,Cancelled
38,38,2024-10-13 02:02:49.136371,2024,10,13,22,Dieng,Sumatera Selatan,1,Grid Modernization Alpha,Planning
39,39,2023-08-28 01:46:49.136371,2023,8,28,6,Wayang Windu,NTT,1,Grid Modernization Alpha,Planning
40,40,2025-04-30 16:47:49.136371,2025,4,30,25,Muara Laboh,Jawa Tengah,3,New Renewable Hub Gamma,In Progress
41,41,2025-05-09 04:33:49.136371,2025,5,9,22,Dieng,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
42,42,2024-11-01 11:32:49.136371,2024,11,1,22,Dieng,Sumatera Selatan,1,Grid Modernization Alpha,Planning
43,43,2023-12-19 20:42:49.136371,2023,12,19,16,Tambak Lorok,Sulawesi Utara,1,Grid Modernization Alpha,Planning
44,44,2024-11-14 20:04:49.136371,2024,11,14,14,Grati,Jawa Tengah,1,Grid Modernization Alpha,Planning
45,45,2025-05-24 11:10:49.136371,2025,5,24,11,Paiton,Sumatera Selatan,4,Rural Electrification Delta,On Hold
46,46,2025-02-27 00:26:49.136371,2025,2,27,15,Muara Karang,Sumatera Utara,6,Maintenance Overhaul Zeta,Cancelled
47,47,2024-05-15 10:32:49.136371,2024,5,15,25,Muara Laboh,Jawa Tengah,6,Maintenance Overhaul Zeta,Cancelled
48,48,2024-01-10 03:08:49.136371,2024,1,10,22,Dieng,Sumatera Selatan,4,Rural Electrification Delta,On Hold
49,49,2025-01-27 23:57:49.136371,2025,1,27,16,Tambak Lorok,Sulawesi Utara,6,Maintenance Overhaul Zeta,Cancelled
50,50,2023-11-07 08:16:49.136371,2023,11,7,23,Sorik Marapi,Jawa Timur,3,New Renewable Hub Gamma,In Progress
51,51,2024-03-01 13:37:49.136371,2024,3,1,13,Tanjung Jati B,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
52,52,2024-05-12 09:35:49.136371,2024,5,12,3,Saguling,Jawa Tengah,6,Maintenance Overhaul Zeta,Cancelled
53,53,2024-08-11 22:13:49.136371,2024,8,11,6,Wayang Windu,NTT,2,Capacity Expansion Beta,Feasibility Study
54,54,2024-09-15 20:57:49.136371,2024,9,15,15,Muara Karang,Sumatera Utara,5,Efficiency Upgrade Epsilon,Completed
55,55,2023-05-30 00:07:49.136371,2023,5,30,9,Ulumbu,Sulawesi Selatan,3,New Renewable Hub Gamma,In Progress
56,56,2023-05-31 10:36:49.136371,2023,5,31,18,Jeneponto,Banten,6,Maintenance Overhaul Zeta,Cancelled
57,57,2025-04-20 22:27:49.136371,2025,4,20,16,Tambak Lorok,Sulawesi Utara,3,New Renewable Hub Gamma,In Progress
58,58,2023-11-09 17:49:49.136371,2023,11,9,24,Rantau Dedap,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
59,59,2024-05-25 12:46:49.136371,2024,5,25,9,Ulumbu,Sulawesi Selatan,4,Rural Electrification Delta,On Hold
60,60,2023-10-10 08:37:49.136371,2023,10,10,18,Jeneponto,Banten,5,Efficiency Upgrade Epsilon,Completed
61,61,2025-04-23 17:59:49.136371,2025,4,23,9,Ulumbu,Sulawesi Selatan,1,Grid Modernization Alpha,Planning
62,62,2024-10-07 08:18:49.136371,2024,10,7,9,Ulumbu,Sulawesi Selatan,6,Maintenance Overhaul Zeta,Cancelled
63,63,2025-03-24 15:53:49.136371,2025,3,24,23,Sorik Marapi,Jawa Timur,1,Grid Modernization Alpha,Planning
64,64,2024-10-29 07:02:49.136371,2024,10,29,17,Sidrap,NTT,6,Maintenance Overhaul Zeta,Cancelled
